tenure,Contract,MonthlyCharges,PaymentMethod,InternetService,OnlineSecurity,TechSupport,Churn_Probability,Risk_Segment,Action_Plan
35,Month-to-month,25.6,Electronic check,No,No internet service,No internet service,0.07,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
50,Month-to-month,105.95,Credit card (automatic),Fiber optic,Yes,No,1.0,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
68,Two year,70.8,Credit card (automatic),DSL,No,Yes,0.01,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
47,Month-to-month,25.4,Electronic check,No,No internet service,No internet service,0.1,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
65,Month-to-month,108.8,Bank transfer (automatic),Fiber optic,No,No,0.12,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
5,Month-to-month,69.75,Electronic check,Fiber optic,No,No,0.97,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
51,Month-to-month,94.65,Electronic check,Fiber optic,No,No,0.82,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
46,Month-to-month,96.05,Bank transfer (automatic),Fiber optic,No,No,0.94,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
9,Month-to-month,76.85,Electronic check,Fiber optic,No,No,0.44,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
8,Two year,20.25,Mailed check,No,No internet service,No internet service,0.04,🟢 Low Risk,✅ No action needed
14,One year,24.8,Credit card (automatic),No,No internet service,No internet service,0.02,🟢 Low Risk,✅ No action needed
45,Month-to-month,115.65,Electronic check,Fiber optic,Yes,Yes,0.25,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
8,Month-to-month,74.6,Credit card (automatic),Fiber optic,No,No,0.24,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
1,Month-to-month,50.15,Mailed check,DSL,No,No,1.0,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
66,One year,103.15,Bank transfer (automatic),Fiber optic,Yes,No,0.04,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
72,Two year,72.1,Credit card (automatic),DSL,Yes,Yes,0.0,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
41,Month-to-month,113.6,Bank transfer (automatic),Fiber optic,Yes,Yes,0.96,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔴 URGENT: Flag for immediate customer success team outreach
23,Two year,25.1,Mailed check,No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
29,Month-to-month,78.9,Electronic check,Fiber optic,No,No,0.46,🟡 Medium Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
4,Month-to-month,80.15,Electronic check,Fiber optic,Yes,No,0.12,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
6,Two year,25.4,Mailed check,No,No internet service,No internet service,0.01,🟢 Low Risk,✅ No action needed
67,One year,105.4,Credit card (automatic),Fiber optic,Yes,Yes,0.08,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
7,Month-to-month,45.75,Mailed check,DSL,No,No,0.13,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
56,One year,24.45,Mailed check,No,No internet service,No internet service,0.03,🟢 Low Risk,✅ No action needed
72,Two year,25.0,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
72,Two year,85.25,Electronic check,DSL,Yes,No,0.03,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
23,Two year,19.6,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
35,Month-to-month,50.15,Mailed check,DSL,No,No,0.03,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
27,Month-to-month,70.55,Electronic check,Fiber optic,No,No,0.2,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
26,Month-to-month,60.05,Electronic check,DSL,No,Yes,1.0,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
12,One year,26.4,Mailed check,No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
40,Two year,20.15,Mailed check,No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
7,Month-to-month,58.85,Mailed check,DSL,Yes,No,0.09,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🛠️ Support: Proactively reach out with free TechSupport session
70,Month-to-month,97.55,Credit card (automatic),Fiber optic,Yes,No,0.34,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
60,Two year,19.65,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
39,One year,25.25,Credit card (automatic),DSL,No,No,0.17,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
72,Two year,114.45,Credit card (automatic),Fiber optic,Yes,Yes,0.0,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
1,Month-to-month,34.7,Electronic check,DSL,No,No,0.97,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
54,One year,70.7,Electronic check,DSL,No,Yes,0.05,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
3,Month-to-month,85.3,Electronic check,Fiber optic,No,No,0.96,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
63,Two year,75.55,Credit card (automatic),DSL,Yes,Yes,0.02,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
71,Two year,84.8,Electronic check,Fiber optic,No,Yes,0.05,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
42,One year,20.65,Mailed check,No,No internet service,No internet service,0.04,🟢 Low Risk,✅ No action needed
47,Two year,20.45,Bank transfer (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
66,One year,102.45,Credit card (automatic),Fiber optic,No,No,0.89,🔴 High Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
21,Month-to-month,104.4,Bank transfer (automatic),Fiber optic,Yes,No,0.99,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
11,Month-to-month,35.65,Electronic check,DSL,No,Yes,0.25,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
1,Month-to-month,99.75,Electronic check,Fiber optic,No,No,1.0,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
55,Month-to-month,90.45,Electronic check,Fiber optic,No,Yes,0.07,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
69,Two year,97.65,Credit card (automatic),Fiber optic,No,Yes,0.06,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
3,Month-to-month,73.85,Electronic check,Fiber optic,No,No,0.34,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
4,Month-to-month,74.4,Electronic check,DSL,No,Yes,0.35,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
30,Two year,69.1,Credit card (automatic),DSL,No,Yes,0.04,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial
5,Month-to-month,82.75,Electronic check,Fiber optic,No,Yes,0.8,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
71,Two year,24.4,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
29,One year,55.25,Electronic check,DSL,No,No,0.1,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
52,Month-to-month,61.35,Bank transfer (automatic),DSL,No,Yes,0.07,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
68,One year,76.75,Credit card (automatic),DSL,Yes,No,0.28,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
46,Two year,19.4,Mailed check,No,No internet service,No internet service,0.01,🟢 Low Risk,✅ No action needed
8,Month-to-month,54.75,Credit card (automatic),DSL,No,No,0.16,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
72,Two year,19.7,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
17,One year,19.9,Bank transfer (automatic),No,No internet service,No internet service,0.07,🟢 Low Risk,✅ No action needed
3,Month-to-month,107.95,Electronic check,Fiber optic,No,Yes,0.41,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
2,Month-to-month,83.8,Bank transfer (automatic),Fiber optic,No,No,0.33,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
9,Month-to-month,74.25,Credit card (automatic),Fiber optic,Yes,No,0.3,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
51,One year,56.4,Credit card (automatic),DSL,No,No,0.1,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
6,Two year,20.1,Mailed check,No,No internet service,No internet service,0.01,🟢 Low Risk,✅ No action needed
3,Month-to-month,94.9,Electronic check,Fiber optic,No,No,0.41,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
17,Month-to-month,94.2,Electronic check,Fiber optic,No,No,0.33,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
30,Month-to-month,49.9,Electronic check,DSL,No,No,0.04,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
31,Month-to-month,71.05,Electronic check,DSL,No,Yes,0.08,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
45,Two year,81.65,Bank transfer (automatic),DSL,Yes,Yes,0.0,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
64,One year,89.45,Bank transfer (automatic),Fiber optic,Yes,No,0.3,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
1,Month-to-month,59.85,Electronic check,DSL,No,No,0.98,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
1,Month-to-month,69.6,Electronic check,Fiber optic,No,No,1.0,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
61,One year,99.0,Electronic check,Fiber optic,No,No,0.09,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
1,Month-to-month,19.05,Mailed check,No,No internet service,No internet service,0.07,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan
9,Month-to-month,45.4,Electronic check,DSL,No,No,1.0,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
72,Two year,114.45,Bank transfer (automatic),Fiber optic,Yes,Yes,0.0,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
1,Month-to-month,19.5,Mailed check,No,No internet service,No internet service,0.8609303751803747,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔴 URGENT: Flag for immediate customer success team outreach
7,Month-to-month,44.25,Mailed check,DSL,No,No,0.11,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
66,One year,90.55,Bank transfer (automatic),Fiber optic,No,Yes,0.02,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
1,Month-to-month,69.9,Electronic check,Fiber optic,No,No,0.8881383812266163,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
40,Month-to-month,20.4,Bank transfer (automatic),No,No internet service,No internet service,0.01,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan
16,Month-to-month,71.4,Bank transfer (automatic),DSL,No,No,0.43,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
2,Month-to-month,87.15,Bank transfer (automatic),Fiber optic,No,No,0.53,🟡 Medium Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
67,Two year,24.85,Credit card (automatic),No,No internet service,No internet service,0.01,🟢 Low Risk,✅ No action needed
41,One year,104.45,Bank transfer (automatic),Fiber optic,Yes,No,0.16,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
56,Two year,19.8,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
72,Two year,116.45,Bank transfer (automatic),Fiber optic,Yes,Yes,0.01,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
3,Month-to-month,84.75,Bank transfer (automatic),Fiber optic,No,No,0.99,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 🔴 URGENT: Flag for immediate customer success team outreach
54,Two year,20.05,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
52,Month-to-month,110.75,Electronic check,Fiber optic,No,Yes,0.16,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
50,Two year,89.7,Bank transfer (automatic),Fiber optic,No,Yes,0.06,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
14,Month-to-month,89.95,Electronic check,Fiber optic,No,Yes,0.99,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
27,One year,48.7,Credit card (automatic),DSL,Yes,No,0.02,🟢 Low Risk,🛠️ Support: Proactively reach out with free TechSupport session
72,Two year,96.6,Bank transfer (automatic),Fiber optic,Yes,Yes,0.0,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
62,One year,74.3,Credit card (automatic),DSL,Yes,No,0.01,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
12,Month-to-month,54.3,Electronic check,DSL,No,Yes,0.13,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
44,One year,74.85,Bank transfer (automatic),DSL,No,Yes,0.07,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
54,Two year,79.95,Bank transfer (automatic),Fiber optic,No,Yes,0.01,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial
68,Two year,20.05,Bank transfer (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
20,Month-to-month,19.4,Mailed check,No,No internet service,No internet service,0.03,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan
50,One year,54.9,Bank transfer (automatic),DSL,No,No,0.03,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
58,Two year,24.45,Credit card (automatic),No,No internet service,No internet service,0.0,🟢 Low Risk,✅ No action needed
35,Month-to-month,89.65,Bank transfer (automatic),Fiber optic,No,No,0.15,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
2,Month-to-month,45.4,Electronic check,DSL,No,No,0.31,🟢 Low Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit)
63,Two year,75.7,Mailed check,DSL,Yes,Yes,0.01,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
58,One year,110.65,Credit card (automatic),Fiber optic,Yes,No,0.17,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session
27,One year,20.55,Mailed check,No,No internet service,No internet service,0.02,🟢 Low Risk,✅ No action needed
71,Two year,115.15,Credit card (automatic),Fiber optic,Yes,Yes,0.0,🟢 Low Risk,💰 Pricing: Offer loyalty discount or bundle deal
63,One year,58.55,Credit card (automatic),DSL,No,No,0.05,🟢 Low Risk,🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
71,Month-to-month,93.25,Bank transfer (automatic),Fiber optic,No,No,0.1,🟢 Low Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session
41,Month-to-month,113.2,Electronic check,Fiber optic,Yes,No,0.99,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
13,Month-to-month,90.5,Electronic check,Fiber optic,No,No,0.75,🔴 High Risk,📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
2,Month-to-month,79.0,Electronic check,Fiber optic,No,No,0.97,🔴 High Risk,🚀 Onboarding: Assign dedicated support for first 90 days | 📄 Retention: Offer 20% discount to switch to annual plan | 💰 Pricing: Offer loyalty discount or bundle deal | 🔒 Upsell: Offer free 1-month OnlineSecurity trial | 🛠️ Support: Proactively reach out with free TechSupport session | 💳 Payment: Incentivize switch to auto-pay (e.g. $5 bill credit) | 🔴 URGENT: Flag for immediate customer success team outreach
